a	ə	
aa	ɑː
ae	ɛ
ah	ɑː
ai	aɪ
al	ɑːl
ao	aʊ
ar	ɑɹ
are 	ɝ
au	ɔː
aw	ɔː
ay	ei
ay	aɪ
b	b
bb	b
c	k
cae	si 
cc	k
cce	tʃi
cci	tʃi
ce	sɛ
ch	tʃ
ci	sɪ
ck	k
cy	sɪ
d	d
dd	d
e	ɛ
ear	ɪɚ
eau	oʊ
ee	i
ei	i
eir	ɛɚ
eo	ɛ
er	ɝ
ere	ɪɚ
eu	juː
ew	juː
ey	i
eyr	ɛɚ
f	f
ff	f
g	ɡ
ge	dʒi
geau	dʒoʊ
gee	dʒi
geo	dʒjoʊ
ger	dʒɝ
gere	dʒɪɚ
gg	ɡ
gh	f
gi	dʒɪ
gie	dʒi
gir	dʒɝ
gire	dʒaɪɚ
gm	m
gn	n
gu	gw
h	h
i	ɪ
ie	i
ir	ɝ
ire	aɪɚ
isle	aɪl
j	dʒ
k	k
kh	k
kk	k
kn	n
l	l
le	l̩
ll	l
m	m
mb	m
mm	m
n	n
ng	ŋ
ngue	ŋ
nk	ŋk
nn	n
o	oʊ
oa	oʊ
oe	oʊ
oeu	uː
oi	ɔɪ
oo	uː
ood	ʌd
oor	ɔɚ
or	ɔɹ
ou	aʊ
ow	aʊ
oy	ɔɪ
p	p
ph	f
pp	p
q	k
qu	k w
r	ɹ
re	ɚ
rh	ɹ
rr	ɹ
rrh	ɹ
s	s
sc	s
sci 	ʃ
scle	sl̩   
sh	ʃ
ss	s
ssi	ʃ
sure	ʒɚ
t	t
th	θ
ture	tʃɚ
u	ʌ
ue	juː
ui	juː
ur	ɝ
ure	jʊɚ
uy	aɪ
v	v
vv	v
w	w
wh	w
wr	ɹ
x	ks
y	j
z	z
zure	ʒɚ
zz	z
